id,name
537,Question
538,Quicksilver
539,Quill
540,Ra's Al Ghul
542,Rambo
543,Raphael
545,Ray
546,Razor-Fist II
547,Red Arrow
548,Red Hood
549,Red Hulk
550,Red Mist
551,Red Robin
552,Red Skull
553,Red Tornado
554,Redeemer II
555,Redeemer III
558,Rhino
559,Rick Flag
560,Riddler
561,Rip Hunter
563,Robin
564,Robin II
565,Robin III
566,Robin V
568,Rocket Raccoon
570,Ronin
571,Rorschach
572,Sabretooth
574,Sandman
575,Sasquatch
576,Sauron
577,Savage Dragon
578,Scarecrow
579,Scarlet Spider
580,Scarlet Spider II
583,Scorpion
584,Sebastian Shaw
585,Sentry
589,Shang-Chi
590,Shatterstar
593,Shocker
600,Silver Surfer
602,Simon Baz
603,Sinestro
607,Skaar
608,Snake-Eyes
610,Sobek
611,Solomon Grundy
613,Space Ghost
614,Spawn
615,Spectre
616,Speedball
617,Speedy
619,Spider-Carnage
622,Spider-Man
624,Spider-Man
629,Spock
630,Spyke
632,Star-Lord
633,Stardust
636,Static
637,Steel
639,Steppenwolf
641,Stormtrooper
642,Sunspot
643,Superboy
644,Superboy-Prime
646,Superman
647,Swamp Thing
648,Swarm
649,Sylar
650,Synch
651,T-1000
652,T-800
653,T-850
655,Taskmaster
657,Thanos
658,The Cape
659,The Comedian
660,Thing
661,Thor
663,Thunderbird
664,Thunderbird II
665,Thunderbird III
666,Thunderstrike
668,Tiger Shark
670,Tinkerer
671,Titan
672,Toad
673,Toxin
674,Toxin
676,Trickster
677,Trigon
679,Triton
680,Two-Face
682,Ultron
683,Utgard-Loki
687,Vanisher
688,Vegeta
689,Venom
690,Venom II
691,Venom III
692,Venompool
694,Vibe
696,Vindicator
697,Violator
699,Vision
702,Vulcan
703,Vulture
704,Walrus
705,War Machine
707,Warlock
708,Warp
709,Warpath
711,Watcher
712,Weapon XI
715,Wildfire
716,Winter Soldier
719,Wolverine
721,Wonder Man
724,Wyatt Wingfoot
726,X-Man
727,Yellow Claw
728,Yellowjacket
730,Ymir
731,Yoda
733,Zoom
